Название файла-источника	Возраст ребенка	ID говорящего	Реплика	Слово-ошибка	Правильная форма	Лемма	Морфологический разбор
T104.cha	1;10.15	rus|ruslan-m|NAN||female|||Nurse|||	ну людолед [: людое] [*] ?	людолед	людое	людолед	S,муж,од=им,ед
T11.cha	1;00.26	rus|ruslan-m|CHI|1;00.26|female|||Target_Child|||	Вава [: Варя] [*] .	Вава@ц	Варя	вава	S,имя,жен,од=им,ед
T123.cha	1;11.25	rus|ruslan-m|NAN||female|||Nurse|||	мы за мячивом [: мячиком] [*] , мы за мячиком бегаем .	мячивом	мячиком	мячиво	S,муж,неод=твор,ед
T126.cha	1;11.26	rus|ruslan-m|CHI|1;11.26|female|||Target_Child|||	дам-дам [: дай-дай] [*] , ну няня .	дам-дам	дай-дай	няня	S,жен,од=им,ед
T129.cha	1;11.26	rus|ruslan-m|NAN||female|||Nurse|||	что на небе , Точ [: Тося] [*] [?] ?	Точ	Тося	небо	S,сред,неод=пр,ед
T137.cha	2;00.23	rus|ruslan-m|CHI|2;00.23|female|||Target_Child|||	Пепе [: Пепа] [*] [?] .	Пепе	Пепа	пепе	S,имя,жен,од=им,ед
T137.cha	2;00.23	rus|ruslan-m|CHI|2;00.23|female|||Target_Child|||	Пепе [: Пепа] [*] [?] .	Пепе	Пепа	пепе	S,имя,жен,од=им,ед
T138.cha	2;00.23	rus|ruslan-m|CHI|2;00.23|female|||Target_Child|||	мапа [: мама] [*] , папа , мама .	мапа	мама	мама	S,жен,од=им,ед
T138.cha	2;00.23	rus|ruslan-m|CHI|2;00.23|female|||Target_Child|||	мапа [: мама] [*] .	мапа	мама	мама	S,жен,од=им,ед
T141.cha	2;00.29	rus|ruslan-m|CHI|2;00.29|female|||Target_Child|||	Рара [: Варин] [*] тапта [: обувь] бара .	Рара@ц	Варин	рара	S,имя,жен,од=им,ед
T150.cha	2;01.25	rus|ruslan-m|CHI|2;01.25|female|||Target_Child|||	ко [: жки] [*] .	ко	жки	жки	S,муж,неод=им,мн
T155.cha	2;02.16	rus|ruslan-m|CHI|2;02.16|female|||Target_Child|||	няня , няняня [: няня] [*] .	няняня	няня	няня	S,жен,од=им,ед
T158.cha	2;02.16	rus|ruslan-m|CHI|2;02.16|female|||Target_Child|||	дема [: деньги] [*] .	дема	деньги	дема	S,неод=им,мн
T158.cha	2;02.16	rus|ruslan-m|CHI|2;02.16|female|||Target_Child|||	дема [: деньги] [*] .	дема	деньги	дема	S,неод=им,мн
